"","Tumor_T_osteolytic","T_naive_or_activated","Proliferating","T_resting","B_or_GerminalCenter","Endothelial","Lymphatic_endothelial","Myeloid","Fibroblast_osteolytic","NK_CTL","Other_epithelial","Keratinocyte","Apocrine_glandular","SmoothMuscle_or_pericyte","Tumor_T_proliferating"
"GSM1347247",0.0123802781420645,0.0558479791780711,1.05416288230316e-05,0.624463765261805,2.70520093928072e-06,0.053678447351906,0.00799543891993763,0.00350026865250943,0.0335540917682919,0.0509184338925109,0.0150493831961554,0.00310851126712814,0.0125040828759533,0.0338359026765051,0.0931501699873987
"GSM1347248",0.014144320427861,0.00715609767605504,1.51654639975807e-06,0.612649531918697,8.12883065865992e-07,0.0660057108572654,0.00985418397728047,0.0165495412635721,0.0508013365753714,0.0640569230203639,0.00264882063170859,0.00717423763890071,0.0141471211069198,0.0540523217182336,0.0807575237583058
"GSM1347249",0.479962672462242,0.144111959734852,8.8814047589865e-07,0.233571256277634,1.08206024770652e-06,0.0194777616879469,0.0017276619559629,1.22163561186738e-06,0.039663980568321,5.2174249243198e-06,0.0418615015781016,0.0186592554047674,0.00312071859498969,0.0178341337197368,6.88754185605983e-07
"GSM1347250",0.302403296012312,0.227997505566726,4.12192638901061e-06,0.329772077221093,1.94797452160499e-06,0.0352976447608044,0.00139105143375888,0.00145857378075014,0.0384341473687535,0.000429281773928887,0.0274841526553715,0.0121289565026405,0.00277251910195151,0.020418651922203,6.07199879631312e-06
"GSM1347251",0.231229946722583,0.259365267647811,5.33674129726646e-06,0.351716669841126,1.80867967899459e-06,0.0547650905830155,0.00239591466562115,0.00168947313919605,0.0457717596028273,9.19092077278618e-06,0.0116214651567342,0.0120174910310026,0.00499795105767195,0.0243861812710393,2.64529396223685e-05
"GSM1347252",0.162593079206151,0.0193053443424312,1.34252203914378e-06,0.598221027439943,2.1776568218224e-06,0.0882991994630098,0.0246763197088701,1.28464907185961e-06,0.0390368543036236,0.000440908518635231,0.00995881235659491,0.0173033430437911,0.0132018511634532,0.0269553287231599,3.12690240426656e-06
"GSM1347253",0.0877312592976663,0.00969317156411791,1.9823227774078e-06,0.651445150188527,3.24505984744736e-06,0.0803752877386585,0.0178103689015121,0.000268459670408465,0.0416254964805772,0.0116611871792425,0.00767547432725632,0.00964862316128556,0.012232983642209,0.034174808777634,0.0356525016882811
"GSM1347254",0.0809504512344059,0.0466155222796228,1.26226404986696e-06,0.619372241576687,1.5173206645988e-06,0.0738981817760049,0.0164478018200354,7.6943886001131e-05,0.0380707585759828,0.00774654250320052,0.00887893921198559,0.00638027339246973,0.0137445099003232,0.0317410298577481,0.0560740244008181
"GSM1347255",0.209991259279667,0.196383214360307,2.77943336661995e-06,0.313346481770602,1.1095816820057e-06,0.0565152781726369,0.00029370445345853,0.000963035722143869,0.041784020353037,0.00333209887747721,0.0151526038051806,0.00831148501858054,0.00324459648708875,0.0222026583080805,0.128475674376691
"GSM1347256",0.500390018704195,0.167353718539626,1.9604443457181e-06,0.133209496605128,5.91145793896992e-07,0.0174260336421266,1.01176279893524e-06,0.00539587889215328,0.0201279312374865,0.00872211003250255,0.0400143426305729,0.00537011501475766,0.000491149301851463,0.00961124208747741,0.0918843999591842
"GSM1347257",0.115716925516551,0.0935372642448359,0.000318200715816139,0.210287897121458,1.27385816160668e-06,0.0905842465726567,0.00213771090249746,0.016979584151598,0.0481098851766575,0.00622118314884376,3.75759567812431e-06,0.00704451150228016,0.0124630557754421,0.0112760560828156,0.385318447634708
