compound,normalized,n_sources,sources,l1000cds2_score,l1000cds2_n,enrichr_best_score,enrichr_n,clue_avg_norm_cs,clue_min_norm_cs,clue_max_fdr,clue_n,clue_n_sigs,clue_reversal,best_pval,moa,target,n_entries
MDC1,mdc1,1,clue.io,,0,,0,-0.43601071428571425,-1.4031,15.6536,1,28,True,1.0,,,1
EPN2,epn2,1,clue.io,,0,,0,-0.43496612903225806,-1.5065,15.6536,1,62,True,1.0,,,1
SA-86418,sa86418,1,clue.io,,0,,0,-0.43439999999999995,-1.0498,1.6881,1,3,True,1.0,,,1
SLC22A4,slc22a4,1,clue.io,,0,,0,-0.43422222222222223,-1.3734,15.6536,1,54,True,1.0,,,1
TRAIP,traip,1,clue.io,,0,,0,-0.43418095238095245,-1.4179,15.6536,1,21,True,1.0,,,1
HMGA1,hmga1,1,clue.io,,0,,0,-0.4339025,-1.4634,15.6536,1,40,True,1.0,,,1
NF-449,nf449,1,clue.io,,0,,0,-0.43358636363636366,-1.4043,15.6536,1,22,True,1.0,Purinergic receptor antagonist,P2RX1,1
CYP19A1,cyp19a1,1,clue.io,,0,,0,-0.4334789473684211,-1.3147,15.6536,1,19,True,1.0,,,1
ELN,eln,1,clue.io,,0,,0,-0.4333322580645161,-1.2878,15.6536,1,31,True,1.0,,,1
MCTP2,mctp2,1,clue.io,,0,,0,-0.43284500000000004,-1.1927,15.6536,1,20,True,1.0,,,1
orantinib,orantinib,1,clue.io,,0,,0,-0.43281470588235293,-1.2376,15.6536,1,34,True,1.0,PDGFR inhibitor|FGFR inhibitor|VEGFR inhibitor,KDR|PDGFRB|FGFR1|AURKA|AURKB|PDGFRA|TBK1|EGFR|FGFR2,1
lomustine,lomustine,1,clue.io,,0,,0,-0.43275555555555556,-1.2598,15.6536,1,9,True,1.0,DNA inhibitor,STMN4,1
SIPA1L2,sipa1l2,1,clue.io,,0,,0,-0.4324421052631579,-1.4772,15.6536,1,19,True,1.0,,,1
S-206352,s206352,1,clue.io,,0,,0,-0.4323923076923077,-1.0872,3.103,1,13,True,1.0,,,1
ARG-CSC-26,argcsc26,1,clue.io,,0,,0,-0.4323444444444444,-1.3181,15.6536,1,9,True,1.0,,,1
XLOC_008704,xloc008704,1,clue.io,,0,,0,-0.43215000000000003,-0.9355,0.8486,1,4,True,1.0,,,1
TMOD4,tmod4,1,clue.io,,0,,0,-0.4318388888888889,-1.3413,15.6536,1,18,True,1.0,,,1
CASC2,casc2,1,clue.io,,0,,0,-0.43174999999999997,-1.1574,3.4884,1,4,True,1.0,,,1
CNR2,cnr2,1,clue.io,,0,,0,-0.4316,-1.4603,15.6536,1,19,True,1.0,,,1
LILRB3,lilrb3,1,clue.io,,0,,0,-0.43156999999999995,-1.4952,15.6536,1,20,True,1.0,,,1
eugenitol,eugenitol,1,clue.io,,0,,0,-0.4315538461538461,-1.3234,15.6536,1,13,True,1.0,Androgen receptor antagonist|Bacterial quorum sensing inhibitor|Chromone|Monoamine oxidase inhibitor,,1
EEF2,eef2,1,clue.io,,0,,0,-0.43154444444444445,-1.3851,15.6536,1,18,True,1.0,,,1
alclometasone,alclometasone,1,clue.io,,0,,0,-0.43122142857142853,-1.0936,3.0826,1,14,True,1.0,Glucocorticoid receptor agonist,NR3C1|CYP3A4|SERPINA6,1
ASN-05257430,asn05257430,1,clue.io,,0,,0,-0.4307368421052632,-1.4466,15.6536,1,19,True,1.0,,,1
droxinostat,droxinostat,1,clue.io,,0,,0,-0.43046666666666666,-1.3166,15.6536,1,9,True,1.0,HDAC inhibitor,HDAC6|HDAC8,1
LINC00094,linc00094,1,clue.io,,0,,0,-0.43028571428571427,-1.1675,15.3525,1,7,True,1.0,,,1
SRGAP2,srgap2,1,clue.io,,0,,0,-0.42981470588235293,-1.4488,15.6536,1,34,True,1.0,,,1
SDS,sds,1,clue.io,,0,,0,-0.4298,-1.0838,2.0317,1,20,True,1.0,,,1
SLC9B1,slc9b1,1,clue.io,,0,,0,-0.4295,-1.5678,15.6536,1,20,True,1.0,,,1
C15ORF48,c15orf48,1,clue.io,,0,,0,-0.42930526315789475,-1.4367,15.6536,1,19,True,1.0,,,1
tributyl-phosphate,tributylphosphate,1,clue.io,,0,,0,-0.42925,-0.8585,0.4717,1,2,True,1.0,,,1
NPTX2,nptx2,1,clue.io,,0,,0,-0.42910526315789477,-1.3011,15.6536,1,19,True,1.0,,,1
KCNK5,kcnk5,1,clue.io,,0,,0,-0.429105,-1.6129,15.6536,1,20,True,1.0,,,1
TRAT1,trat1,1,clue.io,,0,,0,-0.4286208333333334,-1.5384,15.6536,1,24,True,1.0,,,1
CXXC5,cxxc5,1,clue.io,,0,,0,-0.42855999999999994,-1.3917,15.6536,1,20,True,1.0,,,1
RSAD2,rsad2,1,clue.io,,0,,0,-0.428545,-1.3411,15.6536,1,20,True,1.0,,,1
NCK1,nck1,1,clue.io,,0,,0,-0.428535,-1.6246,15.6536,1,20,True,1.0,,,1
ESAM,esam,1,clue.io,,0,,0,-0.42821499999999996,-1.4842,15.6536,1,20,True,1.0,,,1
CYLD,cyld,1,clue.io,,0,,0,-0.42819999999999997,-1.4377,15.6536,1,37,True,1.0,,,1
ADH1A,adh1a,1,clue.io,,0,,0,-0.4278722222222222,-1.5853,15.6536,1,18,True,1.0,,,1
CHRNB4,chrnb4,1,clue.io,,0,,0,-0.42773000000000005,-1.2736,15.6536,1,20,True,1.0,,,1
ERBIN,erbin,1,clue.io,,0,,0,-0.4273526315789474,-1.4317,15.6536,1,19,True,1.0,,,1
SLC16A6,slc16a6,1,clue.io,,0,,0,-0.42718372093023255,-1.2104,15.6536,1,43,True,1.0,,,1
MAST3,mast3,1,clue.io,,0,,0,-0.42717,-1.7454,15.6536,1,30,True,1.0,,,1
BW-180C,bw180c,1,clue.io,,0,,0,-0.42705,-0.8541,0.4536,1,2,True,1.0,Opioid receptor agonist,OPRD1|SLC6A2|OPRM1,1
methyl-methacrylate,methylmethacrylate,1,clue.io,,0,,0,-0.42695,-0.8539,0.4519,1,2,True,1.0,,,1
SA-85268,sa85268,1,clue.io,,0,,0,-0.4269333333333334,-1.193,15.6536,1,3,True,1.0,,,1
MPZ,mpz,1,clue.io,,0,,0,-0.4269,-1.4069,15.6536,1,20,True,1.0,,,1
TUBB4B,tubb4b,1,clue.io,,0,,0,-0.4268888888888889,-1.1619,15.3525,1,18,True,1.0,,,1
NTPCR,ntpcr,1,clue.io,,0,,0,-0.4265666666666667,-1.5534,15.6536,1,24,True,1.0,,,1
CELF4,celf4,1,clue.io,,0,,0,-0.42646842105263155,-1.3689,15.6536,1,19,True,1.0,,,1
NCF4,ncf4,1,clue.io,,0,,0,-0.4264277777777778,-1.5896,15.6536,1,18,True,1.0,,,1
STKLD1,stkld1,1,clue.io,,0,,0,-0.426065,-1.4204,15.6536,1,20,True,1.0,,,1
LINC02381,linc02381,1,clue.io,,0,,0,-0.426025,-0.9193,0.7502,1,4,True,1.0,,,1
LOC153684,loc153684,1,clue.io,,0,,0,-0.4259,-1.303,15.6536,1,4,True,1.0,,,1
YM-298198,ym298198,1,clue.io,,0,,0,-0.42585217391304353,-1.2537,15.6536,1,23,True,1.0,Glutamate receptor antagonist,GRM1,1
ITLN1,itln1,1,clue.io,,0,,0,-0.4256952380952381,-1.5591,15.6536,1,21,True,1.0,,,1
ATF1,atf1,1,clue.io,,0,,0,-0.4256450980392157,-1.3821,15.6536,1,51,True,1.0,,,1
HSF2,hsf2,1,clue.io,,0,,0,-0.4255024390243902,-1.2326,15.6536,1,41,True,1.0,,,1
CALM2,calm2,1,clue.io,,0,,0,-0.4251866666666667,-1.5729,15.6536,1,45,True,1.0,,,1
IGFN1,igfn1,1,clue.io,,0,,0,-0.4251375,-1.6887,15.6536,1,24,True,1.0,,,1
CCDC77,ccdc77,1,clue.io,,0,,0,-0.42508,-1.3182,15.6536,1,20,True,1.0,,,1
LOC101928076,loc101928076,1,clue.io,,0,,0,-0.42505000000000004,-0.8518,0.4438,1,4,True,1.0,,,1
acecainide,acecainide,1,clue.io,,0,,0,-0.4248166666666667,-0.9855,3.0994,1,12,True,1.0,Polarization inhibitor,SCN5A,1
NRG1.beta,nrg1beta,1,clue.io,,0,,0,-0.4247349206349207,-1.0988,2.2293,2,9,True,1.0,,,2
ITPRIP,itprip,1,clue.io,,0,,0,-0.424405,-1.5497,15.6536,1,20,True,1.0,,,1
SLC25A3,slc25a3,1,clue.io,,0,,0,-0.424,-1.1397,3.176,1,9,True,1.0,,,1
nimetazepam,nimetazepam,1,clue.io,,0,,0,-0.4238,-1.1916,15.6536,1,7,True,1.0,GABA receptor agonist,GABRA1|GABRA2,1
guvacine,guvacine,1,clue.io,,0,,0,-0.4238,-0.8476,0.4315,1,2,True,1.0,GABA receptor antagonist,SLC6A1|SLC6A11|SLC6A12|SLC6A13,1
IFI30,ifi30,1,clue.io,,0,,0,-0.42374912280701754,-1.4943,15.6536,1,57,True,1.0,,,1
ROR1,ror1,1,clue.io,,0,,0,-0.42362380952380957,-1.4601,15.6536,1,21,True,1.0,,,1
CEACAM8,ceacam8,1,clue.io,,0,,0,-0.4232111111111111,-1.2588,15.6536,1,18,True,1.0,,,1
CCDC71,ccdc71,1,clue.io,,0,,0,-0.4231238095238095,-1.3753,15.6536,1,21,True,1.0,,,1
nalmefene,nalmefene,1,clue.io,,0,,0,-0.42255,-0.8451,0.424,1,2,True,1.0,Opioid receptor antagonist,OPRK1|OPRM1|OPRD1,1
PCGF6,pcgf6,1,clue.io,,0,,0,-0.42225,-1.3146,15.6536,1,26,True,1.0,,,1
furan,furan,1,clue.io,,0,,0,-0.42157999999999995,-1.3233,15.6536,1,5,True,1.0,,,1
LRP1,lrp1,1,clue.io,,0,,0,-0.42140952380952384,-1.3568,15.6536,1,21,True,1.0,,,1
GRK3,grk3,1,clue.io,,0,,0,-0.42111052631578955,-1.4094,15.6536,1,19,True,1.0,,,1
RGS11,rgs11,1,clue.io,,0,,0,-0.4208,-1.2114,15.6536,1,3,True,1.0,,,1
L3MBTL1,l3mbtl1,1,clue.io,,0,,0,-0.4205611111111111,-1.7142,15.6536,1,18,True,1.0,,,1
goserelin-acetate,goserelinacetate,1,clue.io,,0,,0,-0.4204857142857143,-1.1473,3.0015,1,14,True,1.0,Gonadotropin receptor agonist,GNRHR|GNRH1|LHCGR,1
APBA2,apba2,1,clue.io,,0,,0,-0.420335,-1.5076,15.6536,1,20,True,1.0,,,1
TUL-XX023,tulxx023,1,clue.io,,0,,0,-0.4197533333333333,-1.4686,15.6536,1,15,True,1.0,,,1
GAS7,gas7,1,clue.io,,0,,0,-0.41962857142857146,-1.3959,15.6536,1,56,True,1.0,,,1
AJUBA,ajuba,1,clue.io,,0,,0,-0.41949499999999995,-1.3989,15.6536,1,20,True,1.0,,,1
deflazacort,deflazacort,1,clue.io,,0,,0,-0.41905,-0.8381,0.3916,1,2,True,1.0,Glucocorticoid receptor agonist,NR3C1,1
KIR3DL2,kir3dl2,1,clue.io,,0,,0,-0.41892727272727276,-1.4427,15.6536,1,22,True,1.0,,,1
phthalamide,phthalamide,1,clue.io,,0,,0,-0.41863333333333336,-1.2422,15.6536,1,3,True,1.0,,,1
CD84,cd84,1,clue.io,,0,,0,-0.41843157894736843,-1.3967,15.6536,1,19,True,1.0,,,1
POLRMT,polrmt,1,clue.io,,0,,0,-0.4181,-1.3399,15.6536,1,31,True,1.0,,,1
ATP5S,atp5s,1,clue.io,,0,,0,-0.4180277777777778,-1.488,15.6536,1,36,True,1.0,,,1
GPR151,gpr151,1,clue.io,,0,,0,-0.41753636363636365,-1.3576,15.6536,1,33,True,1.0,,,1
ADRA2B,adra2b,1,clue.io,,0,,0,-0.41748888888888885,-1.4764,15.6536,1,18,True,1.0,,,1
GUCY2C,gucy2c,1,clue.io,,0,,0,-0.41729333333333335,-1.5335,15.6536,1,30,True,1.0,,,1
BCHE,bche,1,clue.io,,0,,0,-0.417145,-1.5088,15.6536,1,20,True,1.0,,,1
glutamyldopamine,glutamyldopamine,1,clue.io,,0,,0,-0.41685,-0.8337,0.3778,1,2,True,1.0,,,1
cortisol,cortisol,1,clue.io,,0,,0,-0.41675,-0.8335,0.3774,1,2,True,1.0,Glucocorticoid receptor agonist,NR3C1,1
GABRR1,gabrr1,1,clue.io,,0,,0,-0.41673499999999997,-1.5629,15.6536,1,20,True,1.0,,,1
MTX1,mtx1,1,clue.io,,0,,0,-0.4164421052631579,-1.3741,15.6536,1,19,True,1.0,,,1
SPATA19,spata19,1,clue.io,,0,,0,-0.41637,-1.4261,15.6536,1,20,True,1.0,,,1
SLC18A3,slc18a3,1,clue.io,,0,,0,-0.41636666666666666,-1.5375,15.6536,1,18,True,1.0,,,1
GSK-2636771,gsk2636771,1,clue.io,,0,,0,-0.41623846153846156,-1.2002,15.6536,1,13,True,1.0,PI3K inhibitor,PIK3CB,1
PI16,pi16,1,clue.io,,0,,0,-0.41613,-1.4188,15.6536,1,20,True,1.0,,,1
DTX1,dtx1,1,clue.io,,0,,0,-0.41612258064516133,-1.354,15.6536,1,31,True,1.0,,,1
GFI1,gfi1,1,clue.io,,0,,0,-0.41564210526315787,-1.1188,3.0734,1,19,True,1.0,,,1
SULT1A1,sult1a1,1,clue.io,,0,,0,-0.4154022727272727,-1.3845,15.6536,1,44,True,1.0,,,1
ITGB1,itgb1,1,clue.io,,0,,0,-0.415390243902439,-1.5536,15.6536,1,41,True,1.0,,,1
tobramycin,tobramycin,1,clue.io,,0,,0,-0.41504705882352944,-1.3543,15.6536,1,17,True,1.0,Bacterial 30S ribosomal subunit inhibitor,,1
serotonin,serotonin,1,clue.io,,0,,0,-0.4149555555555555,-1.2877,15.6536,1,9,True,1.0,Growth factor receptor activator,HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR3A|HTR3B|HTR4|HTR5A|HTR6|HTR7|DRD1|DRD5|HTR1E|HTR1F|SLC36A1,1
phenelzine,phenelzine,1,clue.io,,0,,0,-0.41481111111111113,-1.3258,15.6536,1,9,True,1.0,Monoamine oxidase inhibitor,MAOB|AOC3|MAOA|ABAT|GAD2|GPT|GPT2|SLC6A2|SLC6A3|SLC6A4,1
PDE6A,pde6a,1,clue.io,,0,,0,-0.4143555555555556,-1.4553,15.6536,1,18,True,1.0,,,1
CRYGC,crygc,1,clue.io,,0,,0,-0.41430000000000006,-1.1751,15.3525,1,3,True,1.0,,,1
MYF6,myf6,1,clue.io,,0,,0,-0.4141666666666666,-1.2123,15.6536,1,3,True,1.0,,,1
QW-BI-011,qwbi011,1,clue.io,,0,,0,-0.4139307692307692,-1.4843,15.6536,1,13,True,1.0,Histone lysine methyltransferase inhibitor,EHMT2,1
narlaprevir,narlaprevir,1,clue.io,,0,,0,-0.41382222222222226,-1.4857,15.6536,1,9,True,1.0,HCV inhibitor,,1
L-694247,l694247,1,clue.io,,0,,0,-0.4129153846153847,-1.3627,15.6536,1,13,True,1.0,Serotonin receptor agonist,HTR1D|HTR1A|HTR1B,1
RCSD1,rcsd1,1,clue.io,,0,,0,-0.412221052631579,-1.3517,15.6536,1,19,True,1.0,,,1
hemicholinium-3,hemicholinium3,1,clue.io,,0,,0,-0.41220000000000007,-1.229,15.6536,1,3,True,1.0,Acetylcholine receptor antagonist,,1
ondansetron,ondansetron,1,clue.io,,0,,0,-0.41219230769230764,-1.2197,15.6536,1,13,True,1.0,Serotonin receptor antagonist,HTR3A|CYP2D6|CYP3A5|HTR1A|HTR1B|HTR3B|HTR4|OPRM1,1
CLN3,cln3,1,clue.io,,0,,0,-0.41215636363636365,-1.4116,15.6536,1,55,True,1.0,,,1
ZNF140,znf140,1,clue.io,,0,,0,-0.41169,-0.941,1.0649,1,10,True,1.0,,,1
CNTN5,cntn5,1,clue.io,,0,,0,-0.4113,-1.3187,15.6536,1,19,True,1.0,,,1
SIN3A,sin3a,1,clue.io,,0,,0,-0.4111576923076923,-1.3529,15.6536,1,52,True,1.0,,,1
C6ORF10,c6orf10,1,clue.io,,0,,0,-0.41100000000000003,-1.3438,15.6536,1,19,True,1.0,,,1
PSMD5-AS1,psmd5as1,1,clue.io,,0,,0,-0.410825,-0.8257,0.3453,1,4,True,1.0,,,1
LBR,lbr,1,clue.io,,0,,0,-0.41079,-1.4822,15.6536,1,50,True,1.0,,,1
TFPI2,tfpi2,1,clue.io,,0,,0,-0.410465,-1.1513,3.1416,1,20,True,1.0,,,1
TRIM55,trim55,1,clue.io,,0,,0,-0.41044,-1.2395,15.6536,1,5,True,1.0,,,1
IL1R2,il1r2,1,clue.io,,0,,0,-0.40965833333333335,-1.5823,15.6536,1,60,True,1.0,,,1
TMA7,tma7,1,clue.io,,0,,0,-0.409225,-1.4899,15.6536,1,20,True,1.0,,,1
SA-1473405,sa1473405,1,clue.io,,0,,0,-0.4091,-0.8182,0.322,1,2,True,1.0,,,1
metanephrine,metanephrine,1,clue.io,,0,,0,-0.40895,-1.1074,2.2642,1,8,True,1.0,Epinephrine metabolite,,1
LHX9,lhx9,1,clue.io,,0,,0,-0.4086547619047619,-1.4557,15.6536,1,42,True,1.0,,,1
AMG-837,amg837,1,clue.io,,0,,0,-0.4083571428571428,-1.0389,1.6261,1,7,True,1.0,Fatty acid receptor agonist,FFAR1,1
TICAM1,ticam1,1,clue.io,,0,,0,-0.4080526315789474,-1.4459,15.6536,1,19,True,1.0,,,1
XDH,xdh,1,clue.io,,0,,0,-0.40803500000000004,-1.4421,15.6536,1,20,True,1.0,,,1
biglen,biglen,1,clue.io,,0,,0,-0.40795,-0.8159,0.3126,1,2,True,1.0,,,1
SSX2,ssx2,1,clue.io,,0,,0,-0.40790952380952383,-1.4072,15.6536,1,42,True,1.0,,,1
ZNF529-AS1,znf529as1,1,clue.io,,0,,0,-0.4079,-0.8349,0.3821,1,4,True,1.0,,,1
GW-501516,gw501516,1,clue.io,,0,,0,-0.4074533333333334,-1.2451,15.6536,1,15,True,1.0,PPAR receptor agonist|Insulin sensitizer,PPARD|INS|PPARA,1
FBXL19,fbxl19,1,clue.io,,0,,0,-0.4074388888888889,-1.3265,15.6536,1,54,True,1.0,,,1
SMI-4a,smi4a,1,clue.io,,0,,0,-0.40715,-0.8143,0.3082,1,2,True,1.0,PIM inhibitor,PIM1|AKR1B1|PIM2,1
XLOC_009199,xloc009199,1,clue.io,,0,,0,-0.4070285714285714,-1.1512,3.1714,1,7,True,1.0,,,1
QX-314,qx314,1,clue.io,,0,,0,-0.40664285714285714,-1.1038,3.0644,1,14,True,1.0,Sodium channel inhibitor,MAPK14|TGFBR1,1
KIRREL,kirrel,1,clue.io,,0,,0,-0.40618499999999996,-1.2851,15.6536,1,20,True,1.0,,,1
RSU1,rsu1,1,clue.io,,0,,0,-0.4059711538461539,-1.4912,15.6536,1,52,True,1.0,,,1
MPP5,mpp5,1,clue.io,,0,,0,-0.4058076923076923,-1.5642,15.6536,1,26,True,1.0,,,1
LAMP3,lamp3,1,clue.io,,0,,0,-0.405755,-1.3938,15.6536,1,20,True,1.0,,,1
CCL23,ccl23,1,clue.io,,0,,0,-0.4057235294117647,-1.4141,15.6536,1,34,True,1.0,,,1
GRIK4,grik4,1,clue.io,,0,,0,-0.40509000000000006,-1.4611,15.6536,1,20,True,1.0,,,1
AKR1C4,akr1c4,1,clue.io,,0,,0,-0.40501111111111116,-1.5868,15.6536,1,18,True,1.0,,,1
hippuric-acid,hippuricacid,1,clue.io,,0,,0,-0.4049,-0.8098,0.2947,1,2,True,1.0,,,1
(G054633),g054633,1,clue.io,,0,,0,-0.40419999999999995,-1.0188,3.0903,1,4,True,1.0,,,1
LRRC8A,lrrc8a,1,clue.io,,0,,0,-0.40402000000000005,-1.4692,15.6536,1,20,True,1.0,,,1
SA-432998,sa432998,1,clue.io,,0,,0,-0.4039555555555555,-1.1701,15.3525,1,9,True,1.0,,,1
SYN1,syn1,1,clue.io,,0,,0,-0.40388,-1.5585,15.6536,1,20,True,1.0,,,1
mannitol-D,mannitold,1,clue.io,,0,,0,-0.40384615384615385,-1.1409,2.8793,1,13,True,1.0,Diuretic,,1
FQI-2,fqi2,1,clue.io,,0,,0,-0.4037,-0.8074,0.2894,1,2,True,1.0,,,1
BL-050,bl050,1,clue.io,,0,,0,-0.4030923076923077,-1.2185,15.6536,1,13,True,1.0,,,1
CCR3,ccr3,1,clue.io,,0,,0,-0.402755,-1.4761,15.6536,1,20,True,1.0,,,1
dipraglurant,dipraglurant,1,clue.io,,0,,0,-0.4027461538461538,-1.3206,15.6536,1,13,True,1.0,Glutamate receptor antagonist,GRM5,1
ZC3H7B,zc3h7b,1,clue.io,,0,,0,-0.4015761904761905,-1.5712,15.6536,1,21,True,1.0,,,1
EIF3J-AS1,eif3jas1,1,clue.io,,0,,0,-0.40149999999999997,-1.1964,15.6536,1,6,True,1.0,,,1
MX1,mx1,1,clue.io,,0,,0,-0.40098500000000004,-1.411,15.6536,1,20,True,1.0,,,1
repaglinide,repaglinide,1,clue.io,,0,,0,-0.400875,-1.2817,15.6536,1,16,True,1.0,Insulin secretagogue,ABCC8|KCNJ11|CYP2C8|CYP3A5|INS|PPARG,1
TBX4,tbx4,1,clue.io,,0,,0,-0.40073684210526317,-1.2813,15.6536,1,19,True,1.0,,,1
MRS-1754,mrs1754,1,clue.io,,0,,0,-0.4006461538461539,-1.312,15.6536,1,13,True,1.0,Adenosine receptor antagonist,ADORA2B,1
F10,f10,1,clue.io,,0,,0,-0.40063898305084744,-1.4857,15.6536,1,59,True,1.0,,,1
DHX8,dhx8,1,clue.io,,0,,0,-0.400444,-1.3143,15.6536,1,50,True,1.0,,,1
RASGRP4,rasgrp4,1,clue.io,,0,,0,-0.4003730158730159,-1.4929,15.6536,1,63,True,1.0,,,1
1-benzylimidazole,1benzylimidazole,1,clue.io,,0,,0,-0.40028888888888886,-1.2588,15.6536,1,9,True,1.0,Thromboxane synthase inhibitor,,1
HTATIP2,htatip2,1,clue.io,,0,,0,-0.399797619047619,-1.581,15.6536,1,42,True,1.0,,,1
GATAD2B,gatad2b,1,clue.io,,0,,0,-0.3997833333333333,-1.4057,15.6536,1,42,True,1.0,,,1
VU-0240551,vu0240551,1,clue.io,,0,,0,-0.39971428571428574,-1.151,3.1543,1,7,True,1.0,Solute carrier family member inhibitor,SLC12A5,1
acedapsone,acedapsone,1,clue.io,,0,,0,-0.39925,-0.7985,0.2691,1,2,True,1.0,,,1
B3GNT5,b3gnt5,1,clue.io,,0,,0,-0.3989666666666667,-1.5294,15.6536,2,18,True,1.0,,,2
MYCL2,mycl2,1,clue.io,,0,,0,-0.39896000000000004,-1.0786,1.9791,1,10,True,1.0,,,1
SD-6-035-A10,sd6035a10,1,clue.io,,0,,0,-0.39882999999999996,-1.1817,15.6536,1,10,True,1.0,,,1
CDCP1,cdcp1,1,clue.io,,0,,0,-0.3988263157894737,-1.3165,15.6536,1,19,True,1.0,,,1
DBH,dbh,1,clue.io,,0,,0,-0.398455,-1.4663,15.6536,1,20,True,1.0,,,1
S100A9,s100a9,1,clue.io,,0,,0,-0.39843333333333336,-1.4615,15.6536,1,18,True,1.0,,,1
SLFN11,slfn11,1,clue.io,,0,,0,-0.3983809523809524,-1.637,15.6536,1,21,True,1.0,,,1
L-stepholidine,lstepholidine,1,clue.io,,0,,0,-0.39835,-1.0741,1.9748,1,8,True,1.0,Dopamine receptor agonist|Dopamine receptor antagonist,,1
C2CD4A,c2cd4a,1,clue.io,,0,,0,-0.398075,-1.344,15.6536,1,20,True,1.0,,,1
PYGO1,pygo1,1,clue.io,,0,,0,-0.3979875,-1.1107,2.3265,1,8,True,1.0,,,1
MRGPRX3,mrgprx3,1,clue.io,,0,,0,-0.3977051282051282,-1.4974,15.6536,1,39,True,1.0,,,1
LOC105369340,loc105369340,1,clue.io,,0,,0,-0.39732500000000004,-0.8161,0.3128,1,4,True,1.0,,,1
tripelennamine,tripelennamine,1,clue.io,,0,,0,-0.39717857142857144,-1.4018,15.6536,1,14,True,1.0,Histamine receptor antagonist,HRH1,1
LAD1,lad1,1,clue.io,,0,,0,-0.3971,-1.1727,15.3525,1,5,True,1.0,,,1
STXBP1,stxbp1,1,clue.io,,0,,0,-0.3969511111111111,-1.6485,15.6536,1,45,True,1.0,,,1
SC-9,sc9,1,clue.io,,0,,0,-0.3967,-1.0871,2.4849,1,12,True,1.0,Protein synthesis stimulant,PRKCA,1
CD163,cd163,1,clue.io,,0,,0,-0.396335,-1.2669,15.6536,1,20,True,1.0,,,1
APOM,apom,1,clue.io,,0,,0,-0.39630227272727275,-1.3275,15.6536,1,44,True,1.0,,,1
(AC074117.10),ac07411710,1,clue.io,,0,,0,-0.3962333333333334,-1.1887,15.6536,1,3,True,1.0,,,1
POLG,polg,1,clue.io,,0,,0,-0.39607105263157893,-1.3769,15.6536,1,38,True,1.0,,,1
SLC22A18AS,slc22a18as,1,clue.io,,0,,0,-0.395825,-1.4798,15.6536,1,20,True,1.0,,,1
CD207,cd207,1,clue.io,,0,,0,-0.395395,-1.341,15.6536,1,20,True,1.0,,,1
ELANE,elane,1,clue.io,,0,,0,-0.3948684210526316,-1.2052,15.6536,1,19,True,1.0,,,1
GABRA6,gabra6,1,clue.io,,0,,0,-0.39455,-1.0915,2.0893,1,6,True,1.0,,,1
XLOC_L2_003877,xlocl2003877,1,clue.io,,0,,0,-0.3943749999999999,-1.2083,15.6536,1,4,True,1.0,,,1
GR-55562,gr55562,1,clue.io,,0,,0,-0.3942,-1.2692,15.6536,1,13,True,1.0,Serotonin receptor antagonist,HTR1B,1
PRPF4,prpf4,1,clue.io,,0,,0,-0.3938153846153846,-1.3729,15.6536,1,52,True,1.0,,,1
HSD17B8,hsd17b8,1,clue.io,,0,,0,-0.39360322580645163,-1.627,15.6536,1,62,True,1.0,,,1
sufentanil,sufentanil,1,clue.io,,0,,0,-0.39348571428571427,-1.3631,15.6536,1,7,True,1.0,Opioid receptor modulator,OPRM1|OPRD1|OPRK1,1
TESPA1,tespa1,1,clue.io,,0,,0,-0.39331578947368423,-1.4242,15.6536,1,19,True,1.0,,,1
CNQX,cnqx,1,clue.io,,0,,0,-0.3932705882352941,-1.2688,15.6536,1,17,True,1.0,Glutamate receptor antagonist,GRIA1|GRIA2|GRIA3|GRIA4,1
chloroform,chloroform,1,clue.io,,0,,0,-0.3932333333333333,-1.1797,15.6536,1,3,True,1.0,Solvent,,1
LOC100133315,loc100133315,1,clue.io,,0,,0,-0.3932,-0.9097,2.3908,1,4,True,1.0,,,1
SLC12A4,slc12a4,1,clue.io,,0,,0,-0.39318888888888887,-1.6372,15.6536,1,18,True,1.0,,,1
tetramethylsilane,tetramethylsilane,1,clue.io,,0,,0,-0.3931071428571428,-1.5757,15.6536,1,14,True,1.0,Internal standard for NMR spectroscopy,,1
GABRD,gabrd,1,clue.io,,0,,0,-0.39282222222222224,-1.8948,15.6536,1,18,True,1.0,,,1
4-chlorophenylguanidine,4chlorophenylguanidine,1,clue.io,,0,,0,-0.3927666666666667,-1.1583,3.5883,1,3,True,1.0,Urokinase inhibitor,,1
ST-4029655,st4029655,1,clue.io,,0,,0,-0.3925846153846154,-1.0819,2.6982,1,13,True,1.0,,,1
LRMP,lrmp,1,clue.io,,0,,0,-0.3917894736842105,-1.4261,15.6536,1,19,True,1.0,,,1
VX-765,vx765,1,clue.io,,0,,0,-0.3915125,-1.1531,3.2049,1,8,True,1.0,Caspase inhibitor,CASP1|IL18R1,1
OCO-1112,oco1112,1,clue.io,,0,,0,-0.3914,-1.0758,1.979,1,7,True,1.0,Cholesterol inhibitor,,1
CXCL9,cxcl9,1,clue.io,,0,,0,-0.3910424242424242,-1.3012,15.6536,1,33,True,1.0,,,1
MFAP3,mfap3,1,clue.io,,0,,0,-0.39087272727272726,-1.6064,15.6536,1,11,True,1.0,,,1
