"","Tumor_T_osteolytic","T_naive_or_activated","Proliferating","T_resting","B_or_GerminalCenter","Endothelial","Lymphatic_endothelial","Myeloid","Fibroblast_osteolytic","NK_CTL","Other_epithelial","Keratinocyte","Apocrine_glandular","SmoothMuscle_or_pericyte","Tumor_T_proliferating"
"GSM831265",0.0838415882597524,9.87440834365373e-06,0.0125452767573187,0.435351026584517,0.00312459251629691,0.0823236433644496,2.37524666292057e-05,0.035555149436658,0.00133910077262129,0.0520821235233276,0.0025555884328858,0.0655427852461812,0.0310782429345388,0.0341695407787746,0.160457714517706
"GSM831266",0.298806708365399,0.0781964112825319,3.98208206250363e-06,0.192233021620846,3.85342882450298e-06,0.0443804965479089,1.60887764368925e-05,0.0387109091625861,0.0942496912219132,0.0473010588294688,3.71750700116747e-06,0.059350481796371,0.02401160442923,0.0350202975899917,0.0877116773594289
"GSM831267",0.0566734511282274,0.000554720698766529,3.62039124135619e-05,0.348269535266977,0.000329564885024403,0.0877704260295139,0.00284235152646186,0.110421520075245,0.00305166334642939,0.0994266933533399,0.00294528342891123,0.0478340294947914,0.0155027749685246,0.0204818467079186,0.203859935177456
"GSM831268",0.0991998686090942,0.0734564803785639,1.73340581256673e-05,0.395591079235807,0.0805534467958282,0.0686643015750677,7.93665057408673e-06,0.00297472579889251,1.27908028473329e-05,0.0473668948165675,0.00604322748188512,0.0481087585101426,0.0214232104777992,0.025117784183301,0.131462160625503
"GSM831269",0.0582564560972508,8.5679730842189e-05,5.18979873037312e-06,0.419820705107888,4.34986487777239e-06,0.122387487437026,0.00132432430349931,0.0603892153169675,0.014232456767849,0.0407654783762609,7.12367350332844e-06,0.0658995057810041,0.037345971043951,0.048912765998019,0.130563290702331
"GSM831270",0.0775935529611575,0.0418197589853311,0.000440482024844025,0.416596247294438,0.0321497650498334,0.086770343208459,0.00102927170283698,0.0849239592597519,1.69870876256491e-05,0.0368381248061965,0.000247919099407874,0.0477348095909656,0.0271150922152572,0.0240922536222537,0.122631433091641
"GSM831271",0.12782703604045,1.3823333377547e-06,5.83086368853937e-07,0.417916377699336,4.76514339985683e-07,0.0890932950933436,1.52698958831618e-06,0.0383460760564681,0.00388160802092826,0.0907382222883838,7.52190466813996e-07,0.0544471219422251,0.0240280521701562,0.0502935909745927,0.103423898600015
"GSM831272",0.181487870441965,0.000233613651255213,1.95827444769615e-05,0.184835670134841,3.08978191082271e-06,0.0953567155214835,0.00223685202210774,0.117099629354234,0.0293890321316255,0.0803224831534343,0.0200251261259558,0.0588483428028628,0.016395866063295,0.0281140940339104,0.185632032036643
"GSM831273",0.0586971622620398,4.62526318580477e-07,0.0682844316151383,0.331938839750876,1.27192523778244e-06,0.0693403643194415,1.31123704896041e-05,0.0179655908359,0.00499056466272159,0.0797509106295766,1.01746626747312e-06,0.0409633429145234,0.0100204755173236,0.0201845276790411,0.297847925525105
"GSM831274",0.038390608921066,0.0409161433752667,5.61359791537385e-07,0.463798884876634,4.21388541796696e-07,0.102965928699449,0.00068369450602964,0.0175956973752121,3.01473797588617e-06,0.100398350338197,3.66598072056484e-07,0.0806908263835405,0.0450460324850176,0.0597153145717202,0.0497941543834856
"GSM831275",0.0268795724651423,0.419452060785133,5.75878450914563e-05,0.334474792191915,0.00201719452109199,0.0736416503079358,0.00185483869115801,0.0002230958802009,3.12414480703452e-07,4.52328126742557e-07,2.48178512613039e-05,0.0666866266459269,0.0150761529077716,0.0197326786484499,0.0398781665163142
"GSM831276",0.0355387023974008,0.374045407686681,0.000384090755732574,0.326435567492205,0.0197968118354242,0.0698087939918021,0.00299009872941297,0.0247969631281369,4.0617773915674e-07,5.66825208350353e-07,0.001928663826765,0.0691008559756821,0.0164288951842551,0.0233461638461686,0.0353980121473868
"GSM831277",0.0291439980651016,0.322680361565232,5.96243073148098e-06,0.322490661606124,2.87163385014947e-06,0.0995079568357089,0.00811374171780019,0.0502338395819798,4.73773767070118e-07,5.11871989270507e-07,1.23333472859271e-06,0.0834442746711033,0.0266181767705771,0.0456781948055329,0.0120777413357736
"GSM831278",0.0497350396871325,0.311370216056041,9.53308624436052e-07,0.325763183711047,1.16277536880861e-06,0.0937705203573458,0.00557521699127853,0.0179345549139217,5.36224765195767e-07,1.24315587217887e-06,7.79692751331571e-07,0.0842162595259816,0.0294541188220667,0.0506905478860065,0.0314856668917973
"GSM831279",0.0379601471477426,0.32389740855624,0.00218958904369243,0.358259249864836,0.00196179574396162,0.0977831447165713,0.00193439210050944,0.0199395686960504,6.43469227466846e-07,5.0441082761388e-07,3.83538714162276e-05,0.076152632371318,0.0264500871463104,0.0277223133452357,0.0257101695160608
"GSM831280",0.035668295761734,0.343617103755978,3.79737673731183e-06,0.343448715176105,2.79868895365344e-06,0.0981096648080378,0.00082640108664428,2.96653055003923e-05,8.87442723846755e-07,1.25199561301088e-06,1.27917334938013e-05,0.0756012100437335,0.0282157058363554,0.0315750354681206,0.042886675520269
"GSM831281",0.0654238339195698,0.366848554504547,9.88001012485943e-06,0.273236160097412,6.6603892054499e-05,0.115869703337327,0.00311081516919503,0.0119150881643116,4.87245026998028e-07,5.89291318911035e-07,0.00335430723339355,0.0732323053396403,0.0181952691089338,0.0411975819126815,0.0275388207744632
"GSM831282",0.0600233619549665,0.361462308964037,0.000508145838003656,0.270185251985376,5.54760451358445e-05,0.108698966769748,0.00374310803404948,0.0659343017875483,8.66324216533293e-07,1.3493597612589e-06,0.00291476871630024,0.076330284138316,0.018864452248823,0.030276678272723,0.00100067956099499
"GSM831283",0.0383849342652845,0.383932819068746,1.35835923215089e-06,0.301427729654436,1.67531369374829e-06,0.102542061821282,0.000266672099217289,0.0064133001191228,8.61303049502025e-07,6.94766270159609e-07,2.11417805526356e-06,0.0797862011511822,0.0253395677494208,0.0316007769266447,0.0302992332243625
"GSM831284",0.0255175367908908,0.437763374671746,1.96912208755437e-05,0.267075813158607,1.94929428456207e-06,0.100359735409208,0.0018133162971988,0.0409121749418254,7.48324159992932e-07,1.40816348438036e-06,4.56945915028919e-05,0.0618701049732791,0.0188380194592412,0.0215402058395727,0.0242402268641232
"GSM831285",0.0481976886592646,0.416977487159993,6.65728625444918e-07,0.290472784602586,1.42213191539398e-06,0.0937279062362356,0.000883542402032178,0.0219063929574925,4.28398527199462e-07,3.26540164976221e-07,1.27071382439133e-06,0.0748883741368645,0.0144496469967525,0.0255829365212729,0.0129091268144485
"GSM831286",0.0305113006052929,0.453394995622795,3.65045193756445e-06,0.289461870929565,2.27112075925399e-06,0.0949988528126707,0.000616847743009219,0.0155146682208726,6.19399466107653e-07,3.77193719774281e-06,1.63618360650827e-06,0.0778173921150403,0.0050910609538694,0.0178844588179727,0.0146966030859451
"GSM831287",0.0362931040559232,0.440120052482653,4.38716698405349e-06,0.272758902315321,1.55176397553979e-06,0.0911378493034627,0.000922316053725325,0.0465897349875403,4.43111929047487e-07,0.000424289626713758,5.08821142324862e-06,0.0746296364796583,0.0143160648851856,0.021738234681289,0.00105834487421593
"GSM831288",0.042985210371436,0.345291355090386,4.9183805667382e-07,0.323892955664446,7.54325941995738e-07,0.101027787325791,0.00223566163636506,0.023370707359454,7.64363839656846e-07,0.0274176092528405,1.24765776222655e-06,0.0898314770829737,0.0146044453477701,0.0277228727532671,0.00161665992967005
"GSM831289",0.0300238589036463,0.383736414914273,1.9955088961437e-06,0.336205149672854,2.8415047745177e-06,0.0936498421864703,0.00213324219332985,0.0143645222872706,4.33217336292075e-07,0.0303926072768354,2.00001251853269e-05,0.0704003979356526,0.00994720986387385,0.0217325601185981,0.00738892429100356
"GSM831290",0.0801822790937664,0.376152799230844,5.77848240662764e-06,0.313764701166173,4.56256109619556e-06,0.0888319706994997,0.00371974535604311,0.0418963243041678,5.08983550316222e-07,1.05671456734782e-06,4.67238460124902e-06,0.0518286853951799,0.0174551771456146,0.0260870007769997,6.47377054895645e-05
